time(s),reference current(A),current(A),cart position(m),pendulum angle(rad)
0.00768,0.7,-0.052,0,-3.14159265
0.011136,0.7,0.52,0.000018,-3.14159265
0.014848,0.7,0.546,0.000126,-3.140021854
0.018624,0.7,0.624,0.000234,-3.140021854
0.0224,0.7,0.676,0.000396,-3.140807252
0.026176,0.7,0.676,0.000648,-3.140021854
0.029952,0.7,0.676,0.000936,-3.139236456
0.033728,0.7,0.676,0.00126,-3.138451057
0.037568,0.7,0.624,0.001674,-3.138451057
0.041408,0.7,0.676,0.002106,-3.136880261
0.045312,0.7,0.702,0.002592,-3.136094863
0.049152,0.7,0.676,0.00315,-3.134524067
0.052992,0.7,0.65,0.003726,-3.13295327
0.056832,0.7,0.702,0.004374,-3.132167872
0.060736,0.7,0.702,0.005058,-3.130597076
0.064576,0.7,0.754,0.00576,-3.128240881
0.068416,0.7,0.728,0.006534,-3.126670085
0.07232,0.7,0.65,0.007326,-3.12431389
0.07616,0.7,0.702,0.008172,-3.121957696
0.08,0.7,0.65,0.009054,-3.1203869
0.08384,0.7,0.676,0.009972,-3.119601501
0.087744,0.7,0.624,0.010908,-3.117245307
0.091648,0.7,0.676,0.011952,-3.114889112
0.095616,0.7,0.512,0.012996,-3.11174752
0.09952,0.7,0.676,0.014076,-3.110176724
0.103488,0.7,0.754,0.01521,-3.108605927
0.10752,0.7,0.65,0.016398,-3.104678936
0.111552,0.7,0.702,0.01764,-3.101537344
0.115584,0.7,0.754,0.018864,-3.099966547
0.119616,0.7,0.702,0.020178,-3.096824955
0.123648,0.7,0.65,0.021528,-3.093683362
0.127744,0.7,0.754,0.022896,-3.090541769
0.131776,0.7,0.676,0.0243,-3.088970973
0.135808,0.7,0.728,0.025758,-3.085043982
0.13984,0.7,0.702,0.02727,-3.081116991
0.143872,0.7,0.676,0.0288,-3.077190001
0.147904,0.7,0.702,0.030366,-3.075619204
0.151936,0.7,0.702,0.031986,-3.070906815
0.155968,0.7,0.754,0.03366,-3.067765223
0.16,0.7,0.598,0.03537,-3.063838232
0.164032,0.7,0.858,0.037098,-3.061482037
0.168064,0.7,0.78,0.03888,-3.05598425
0.172096,0.7,0.624,0.040716,-3.053628056
0.176128,0.7,0.728,0.042588,-3.049701065
0.18016,0.7,0.676,0.044514,-3.045774074
0.184192,0.7,0.676,0.046494,-3.041847083
0.188288,0.7,0.702,0.04851,-3.038705491
0.19232,0.7,0.728,0.05058,-3.033207704
0.196352,0.7,0.858,0.052704,-3.030066111
0.200384,0.7,0.572,0.054846,-3.025353722
0.204416,0.7,0.754,0.057042,-3.021426731
0.208448,0.7,0.676,0.059328,-3.015928944
0.21248,0.7,0.754,0.061578,-3.012001953
0.216512,0.7,0.52,0.0639,-3.008074962
0.220544,0.7,0.728,0.066294,-3.004147972
0.224576,0.7,0.624,0.068706,-2.997864786
0.228608,0.7,0.598,0.071172,-2.994723194
0.23264,0.7,0.65,0.073674,-2.989225406
0.236672,0.7,0.78,0.076212,-2.985298416
0.240704,0.7,0.572,0.078822,-2.97901523
0.2448,0.7,0.676,0.08145,-2.975873638
0.248832,0.7,0.624,0.084114,-2.970375851
0.252864,0.7,0.806,0.086832,-2.96644886
0.256896,0.7,0.598,0.089604,-2.960165674
0.260928,0.7,0.624,0.092394,-2.957024082
0.26496,0.7,0.78,0.095238,-2.950740897
0.268992,0.7,0.728,0.0981,-2.948384702
0.273024,0.7,0.702,0.101034,-2.94053072
0.27712,0.7,0.676,0.104094,-2.935032933
0.28128,0.7,0.624,0.107136,-2.932676739
0.285376,0.7,0.754,0.11025,-2.928749748
0.289536,0.7,0.624,0.113418,-2.920895766
0.293632,0.7,0.65,0.116604,-2.915397979
0.297728,0.7,0.806,0.119826,-2.913041785
0.301888,0.7,0.512,0.123066,-2.907543998
0.305984,0.7,0.598,0.126378,-2.899690016
0.310144,0.7,0.832,0.129708,-2.897333821
0.31424,0.7,0.598,0.133038,-2.891836034
0.318336,0.7,0.512,0.13644,-2.887123645
0.322496,0.7,0.65,0.13986,-2.88084046
0.326592,0.7,0.806,0.14328,-2.876913469
0.330752,0.7,0.598,0.146772,-2.87220108
0.334848,0.7,0.624,0.150282,-2.867488691
0.338944,0.7,0.832,0.153828,-2.861205506
0.343104,0.7,0.702,0.15741,-2.857278515
0.3472,0.7,0.65,0.16101,-2.853351524
0.35136,0.7,0.624,0.164664,-2.848639135
0.355456,0.7,0.832,0.168318,-2.84235595
0.359552,0.7,0.78,0.172026,-2.838428959
0.363712,0.7,0.546,0.17577,-2.834501968
0.367808,0.7,0.624,0.179514,-2.829789579
0.371968,0.7,0.702,0.18333,-2.823506394
0.376064,0.7,0.806,0.187146,-2.8211502
0.38016,0.7,0.598,0.19098,-2.816437811
0.38432,0.7,0.52,0.194886,-2.811725422
0.388416,0.7,0.572,0.198792,-2.807013033
0.392576,0.7,0.65,0.202716,-2.80387144
0.396672,0.7,0.884,0.206694,-2.799159051
0.400768,0.7,0.624,0.21069,-2.79523206
0.404928,0.7,0.754,0.214722,-2.790519671
0.409024,0.7,0.468,0.218772,-2.788163477
0.413184,0.7,0.702,0.222858,-2.783451088
0.41728,0.7,0.806,0.226962,-2.780309495
0.421376,0.7,0.754,0.231084,-2.774811708
0.425536,0.7,0.884,0.235242,-2.772455514
0.429632,0.7,0.728,0.239436,-2.769313921
0.433792,0.7,0.728,0.243648,-2.76538693
0.437888,0.7,0.572,0.247878,-2.761459939
0.441984,0.7,0.546,0.252162,-2.759103745
0.446144,0.7,0.512,0.256446,-2.755962152
0.45024,0.7,0.546,0.260766,-2.75282056
0.454336,0.7,0.806,0.265122,-2.748893569
0.458496,0.7,0.702,0.269478,-2.747322772
0.462592,0.7,0.832,0.27387,-2.74418118
0.466752,0.7,0.806,0.27828,-2.741039587
0.470848,0.7,0.832,0.282708,-2.737897994
0.474944,0.7,0.676,0.287172,-2.736327198
0.479104,0.7,0.676,0.291672,-2.733971004
0.4832,0.7,0.65,0.29619,-2.730829411
0.48736,0.7,0.546,0.300726,-2.728473217
0.491456,0.7,0.624,0.30528,-2.72690242
0.495552,0.7,0.572,0.30987,-2.724546226
0.499712,0.7,0.624,0.314478,-2.722975429
0.503808,0.7,0.624,0.319104,-2.721404633
0.507968,0.7,0.572,0.323748,-2.719048439
0.512064,0.7,0.702,0.328428,-2.717477642
0.51616,0.7,0.572,0.333126,-2.716692244
0.52032,0.7,0.754,0.33786,-2.715121448
0.524416,0.7,0.572,0.342612,-2.713550651
0.528576,0.7,0.754,0.347364,-2.712765253
0.532672,0.7,0.754,0.352152,-2.711194457
0.536768,0.7,0.676,0.356958,-2.710409059
0.540928,0.7,0.728,0.361764,-2.709623661
0.545024,0.7,0.65,0.366642,-2.709623661
0.549184,0.7,0.728,0.37152,-2.708052864
0.55328,0.7,0.598,0.376398,-2.708052864
0.557376,0.7,0.598,0.381312,-2.707267466
0.561536,0.7,0.676,0.386226,-2.708052864
0.565632,0.7,0.624,0.391194,-2.707267466
0.569792,0.7,0.624,0.39618,-2.707267466
0.573888,0.7,0.572,0.401148,-2.707267466
0.577984,0.7,0.624,0.40617,-2.707267466
0.582144,0.7,0.598,0.411228,-2.708052864
0.58624,0.7,0.546,0.416268,-2.708838262
0.5904,0.7,0.676,0.421362,-2.708838262
0.594496,0.7,0.728,0.42642,-2.710409059
0.598592,0.7,0.78,0.431532,-2.711194457
0.602752,0.7,0.702,0.43668,-2.711194457
